condition,test_zone,test_nrmse_mean,theta_hat_mean,amplitude_rms_db_mean,phase_rms_deg_mean
D0,Z0-south,0.0004178212704645077,1.000110182548543,0.0026791722443667123,0.0149342204210043
D0,Z1-east,0.0005442589539372794,1.0002504549786444,0.0038636730886632696,0.028134501472275447
D0,Z2-north,0.00016491519922634472,0.9999942385188032,0.001356905304839063,0.010088731254986258
D0,Z3-west,0.0022377809928477896,1.0001193304619498,0.020030850536221657,0.03721267592056636
D0,Z4-center,0.00023591124044920563,0.9998682846094801,0.0014208140651317325,0.014360868665141819
D1,Z0-south,0.09189851876642738,0.7586955350088677,0.602020883889028,3.151200157165048
D1,Z1-east,0.20812806579787682,0.9803771931373791,0.9081208947649969,3.0198700126081786
D1,Z2-north,0.039043276106842204,0.7510082099790655,0.2729701089682535,2.0033272369490103
D1,Z3-west,0.4671939972160246,0.7907491731234758,6.069436764042446,23.11694041116055
D1,Z4-center,0.055176827658234444,0.768244802569587,0.3967770311062771,3.239468372501782
D2,Z0-south,0.13207217234099855,0.6582277906956623,0.8065210692133378,5.0490845647360585
D2,Z1-east,0.24629689594295512,0.9352878798241728,1.1145785145192824,4.1694378885069865
D2,Z2-north,0.05059967684514057,0.6462456579492093,0.37193786681674706,2.7194975047095893
D2,Z3-west,2.825490639475626,0.6919116288845102,10.604064786280002,42.722566404432015
D2,Z4-center,0.07161425451572502,0.669656293892479,0.45340647538152884,4.291856515671334
D3,Z0-south,0.07429145937003812,0.8344378144689227,0.4620690206887442,2.605226809774955
D3,Z1-east,0.17577519573500835,0.9586457975171108,0.6148176364071438,3.1663840127448175
D3,Z2-north,0.029389969185109558,0.8302626165409689,0.2008580540765398,1.4563209184329653
D3,Z3-west,3.2436606425497594,0.8477759010437171,8.297165071058846,37.342988474204745
D3,Z4-center,0.05783904906031826,0.8438213167353219,0.43204481753519114,3.3734048539700505
D4,Z0-south,0.09457293686729738,0.7838771668565231,0.5711644599174767,3.4864216965261776
D4,Z1-east,0.19794657909625754,0.9583962104285061,0.801134709679258,3.453640592448338
D4,Z2-north,0.042094935062190114,0.776820226444109,0.26598558981802634,1.930961467321139
D4,Z3-west,3.0325727584583873,0.8060339543137311,9.152705050123375,40.18037755046453
D4,Z4-center,0.05987457118542459,0.7949462900319064,0.39945044607217306,3.659528529602319
D5,Z0-south,0.2402440571424522,0.7184251834711722,3.6355477565203307,8.040848686429344
D5,Z1-east,0.2091694878675257,0.9648671484443466,1.0831295670281802,4.6280703043732005
D5,Z2-north,0.047140624853271966,0.7223472389351862,0.31508706229027644,2.2942363780385637
D5,Z3-west,3.850051082126352,0.7569693718787134,11.106770695727125,54.07618948921074
D5,Z4-center,0.1328084140858959,0.7499185931369524,1.7804091775840092,11.700266550127033
